,tot_pos,tot_neg,tot_neut,phys_pos,phys_neg,phys_neut,perc_pos,perc_neg,proc_neut,total_class,total,share_phys,share_perc
AIwlH median,-0.24768661392395883,-0.5360345165894645,0.36235171510933795,-0.13822569218785968,-0.5252483249946519,0.06993120211726346,-0.09239079781970246,-0.3948723471306744,-0.14638189139025637,-0.13093499703390893,,-0.13008053222517962,-0.258747667076089
AIwlH std,-0.007584378569485153,-0.12195429396666767,0.08658750260240418,-0.022358332386096098,0.06398554701466165,-0.09860858233892883,0.04990115649262364,-0.017534959611700447,-0.06991958075305138,-0.08480872532763994,,-0.05920838403802988,-0.03848449798871125
AIwlH mean,-0.15975746161532914,-0.4026098852998383,0.25449408151283726,-0.04679509303456793,-0.4702494631904852,0.16396026625983687,-0.04536590570158276,-0.29058016996852165,-0.05177483226425883,-0.0076763493868707055,,-0.02149352068331789,-0.13687745975539956
AIN max,,,,,,,,,,,,,
AIN min,0.17426675363783498,-0.03784608148937484,-0.23111257070143243,0.03882540608191025,-0.13489484934572696,-0.2997657357922806,-0.08723545268165092,-0.005375828861277503,-0.004404935884279071,-0.05657315889641235,,-0.2299990022468376,-0.041782500635491236
AIN median,,,,,,,,,,,,,
AIN std,-0.11866249001359462,-0.08318223371423836,0.13988809543914454,-0.09103213101524538,0.09453978541508969,-0.013978044584216481,0.0174202767624113,-0.05930946705543112,-0.09593544686573417,-0.08872553600214295,,-0.014692023981460406,-0.0837362654497663
AIN mean,0.08979988760386831,0.14869076942933865,-0.12457266504934762,0.09590787544293725,-0.03618309509153991,0.14820222039282474,0.022082564876612254,0.10467735061904677,0.10359153178611237,0.15381104390088235,,0.12428713711750722,0.11848294840054249
AIT max,0.10158556660210176,0.06535475494971453,-0.027678976772138097,-0.10187124672633496,0.1364210790104113,-0.11866487351490258,-0.018496064209313923,0.16180927934017938,0.027348676799702123,-0.02197368936260546,,-0.0800777893482164,0.056547876335413895
AIT min,0.1375822669581111,0.008309025952983535,-0.22526844129509957,0.0029168489856465367,-0.12887377274881903,-0.33829742193376433,-0.14364293715477983,-0.022040416810589103,-0.019192885613878982,-0.09918345347624474,,-0.26669475448336916,-0.08167686839492964
AIT median,0.2317577841378358,0.5847584596879748,-0.357160757603251,0.12889926826422807,0.5150513373381772,0.031270387147983664,0.09916226889504147,0.45892781323573983,0.15720924460001284,0.19537457251216908,,0.19468856404089824,0.28709481967505435
AIT std,0.03579251091406131,0.027358602341925005,0.0019472296520152478,-0.02884099824540793,0.19039767110138126,-0.12529682193715275,0.050586120278757474,0.11171262603870585,-0.05475360042607565,-0.06784293614401071,,-0.04747668543533256,0.007973806014106044
AIT mean,0.2208516257272493,0.5368680082429997,-0.3360820312932366,0.1179699360032255,0.4130385105452029,0.036045148182981906,0.07344099128341049,0.4250749886301199,0.1444801983346757,0.18256021502399702,,0.16841500809396667,0.25724222707909394
AIM max,0.10158556660210168,0.06535475494971446,-0.02767897677213802,-0.10187124672633503,0.1364210790104114,-0.11866487351490257,-0.018496064209313958,0.16180927934017944,0.027348676799702078,-0.021973689362605457,,-0.08007778934821641,0.05654787633541384
AIM min,0.1351120148256207,0.011845888739224,-0.2261580149119282,-0.0012147445998429043,-0.1266460506127204,-0.3435334470783479,-0.1520449556922146,-0.023505722737085743,-0.024395027508482242,-0.10675436049431174,,-0.27108122601411083,-0.08970672752453544
AIM median,0.23157853524547276,0.5846997064825357,-0.3569387172453973,0.12849500707760902,0.5159371986755374,0.03028297605212541,0.09910403325616772,0.4589378617977734,0.15688393706734105,0.1946766701059705,,0.194100569804122,0.28681722181497
AIM std,0.11588859272534509,0.1461894299974293,-0.08377692000546987,0.024075770994718436,0.2603350625896469,-0.08209667783487719,0.09201773610587599,0.24070746959655703,-0.008601140723450584,0.007235193494964992,,0.017329304125426485,0.09594850818153842
AIM mean,0.22241834727797094,0.556974590063993,-0.3407182240708026,0.10437644439878427,0.46813601650121067,-0.006496508463560105,0.07324711053839258,0.4441947520912111,0.13442851615588414,0.1585032887221677,,0.1486361583911054,0.2543283121386204
AIw420wlH max,-0.029469738796731957,0.023191548478270103,0.2012226915235544,0.03697053466848218,0.06084752778605211,0.1472614995004022,0.15209455596528915,0.18766543361671645,-0.22573683751526621,-0.1069194643689805,,0.12955981049485013,-0.0633255267574525
AIw420wlH min,-0.22814836678007802,0.1455306195775134,0.018444987649419726,-0.17052261512642675,0.04985214929450854,-0.03740436896825223,-0.1999923856511895,-0.057685312744099417,0.014023670961749491,-0.008731676223501739,,-0.06783947120040776,-0.08885411881165005
AIw420wlH median,-0.14549962437741865,-0.15304843866708115,0.1617376696616686,0.014259475505253099,-0.07853885733093785,0.047344794685221556,-0.10961682321899417,-0.1334094411095411,-0.343700327204748,-0.25241430926737457,,0.017330426712533105,-0.35179972201462234
